task	nodes	reuse_pct	cam_lru_s	cam_lru_us	cam_energy_j_4k_dir_plus_hot_hits	cam_time_pct_of_total
CN	2708	39.9	1.4087016e-05	14.087016	0.00017439501044	2.4385197301152715e-05
CL	2708	39.46	1.4110846400000001e-05	14.110846400000002	0.000174298854776	2.4248920496089876e-05
PN	19717	39.9	0.000102567834	102.56783399999999	0.0012697734198100002	1.373594002785759e-05
PL	19717	42.36	0.0001015977576	101.5977576	0.001273687678084	1.4186711468186314e-05
AR	169343	39.69	0.0008816335266	881.6335266	0.010902807490169001	2.1092740639846847e-05
WK	11701	38.9	6.1102622e-05	61.102622	0.0007525993102300001	1.4098148584701224e-05
